Date,Open,High,Low,Close,Adj Close,Volume
4/8/2016,8.53,8.56,8.44,8.47,7.433905,5743800
4/11/2016,8.8,8.86,8.74,8.75,7.679652,4182400
4/12/2016,8.8,8.97,8.68,8.95,7.855188,3685700
4/13/2016,9.39,9.5,9.34,9.49,8.329131,4316500
4/14/2016,9.5,9.58,9.41,9.51,8.346684,3737800
4/15/2016,9.55,9.56,9.42,9.46,8.302803,2781400
4/18/2016,9.49,9.6,9.47,9.56,8.39057,3496200
4/19/2016,9.66,9.74,9.58,9.68,8.495891,3453600
4/20/2016,9.85,9.9,9.79,9.88,8.671427,2997800
4/21/2016,9.88,9.89,9.77,9.81,8.609988,3115300
4/22/2016,9.82,9.95,9.82,9.91,8.697757,2956800
4/25/2016,10,10.01,9.83,9.91,8.697757,3834200
4/26/2016,10.03,10.17,9.94,10.14,8.89962,3917900
4/27/2016,10.13,10.28,10.07,10.2,8.952281,3795000
4/28/2016,10.06,10.22,10.03,10.09,8.855737,3641600
4/29/2016,10.18,10.2,9.98,10.05,8.820631,4555400
5/2/2016,10.09,10.12,9.95,10.08,8.84696,2153600
5/3/2016,9.75,9.76,9.59,9.65,8.46956,4510200
5/4/2016,9.47,9.56,9.41,9.45,8.294024,4482200
5/5/2016,9.38,9.5,9.28,9.32,8.179927,3455700
5/6/2016,9.27,9.47,9.25,9.41,8.258918,2344100
5/9/2016,9.3,9.34,9.15,9.19,8.065829,3444600
5/10/2016,9.39,9.52,9.36,9.47,8.311579,2382400
5/11/2016,9.44,9.54,9.35,9.4,8.250143,2511200
5/12/2016,9.55,9.6,9.38,9.45,8.294024,4585700
5/13/2016,9.42,9.54,9.35,9.39,8.241364,4498800
5/16/2016,9.39,9.48,9.39,9.44,8.285249,2847000
5/17/2016,9.47,9.55,9.37,9.44,8.285249,3514500
5/18/2016,9.73,10.01,9.69,9.96,8.741639,5154900
5/19/2016,10.1,10.17,9.93,10.03,8.803077,4868000
5/20/2016,10.1,10.23,10.1,10.16,8.917174,3781200
5/23/2016,10.2,10.27,10.14,10.17,8.925952,3194800
5/24/2016,10.5,10.66,10.47,10.66,9.356011,5034700
5/25/2016,10.82,11.01,10.82,10.92,9.584208,4198000
5/26/2016,10.92,10.94,10.75,10.83,9.505217,2968200
5/27/2016,10.89,10.98,10.86,10.91,9.575431,1936200
5/31/2016,10.83,10.9,10.53,10.58,9.285797,5079200
6/1/2016,10.31,10.5,10.24,10.48,9.19803,3517200
6/2/2016,10.46,10.58,10.44,10.55,9.259469,3056100
6/3/2016,10.54,10.57,10.34,10.51,9.22436,3104800
6/6/2016,10.41,10.49,10.37,10.45,9.1717,5320600
6/7/2016,10.54,10.66,10.48,10.48,9.19803,2624500
6/8/2016,10.45,10.48,10.32,10.37,9.101485,4270100
6/9/2016,10.26,10.26,10.16,10.2,8.952281,3598800
6/10/2016,9.81,9.84,9.55,9.56,8.39057,6652900
6/13/2016,9.35,9.5,9.31,9.33,8.188704,5702900
6/14/2016,9.14,9.24,8.98,9.05,7.942955,7739900
6/15/2016,9.21,9.29,9.11,9.11,7.995615,5207400
6/16/2016,8.91,9.14,8.78,9.12,8.004394,5271700
6/17/2016,9.47,9.64,9.41,9.62,8.44323,8188800
6/20/2016,10.39,10.43,10.26,10.27,9.013719,8468400
6/21/2016,10.53,10.71,10.43,10.62,9.320905,7481500
6/22/2016,10.68,10.89,10.67,10.71,9.399894,7129500
6/23/2016,11.06,11.19,10.93,11.18,9.812404,7244900
6/24/2016,11.18,11.18,8.13,8.89,7.802528,74888100
6/27/2016,7.05,7.19,6.76,7.03,6.170052,149635800
6/28/2016,7.27,7.39,7.13,7.3,6.407025,63298400
6/29/2016,7.41,7.67,7.35,7.6,6.670327,32266100
6/30/2016,7.48,7.67,7.4,7.6,6.670327,22363300
7/1/2016,7.61,7.64,7.53,7.59,6.661551,12826700
7/5/2016,7.34,7.37,7.15,7.21,6.328034,16942200
7/6/2016,7.03,7.08,6.85,7.08,6.213937,24404400
7/7/2016,7.2,7.26,7,7.06,6.196383,12858900
7/8/2016,7.42,7.42,7.3,7.32,6.424579,11681800
7/11/2016,7.63,7.7,7.55,7.67,6.731765,13748600
7/12/2016,8.07,8.09,7.91,7.95,6.977513,30938500
7/13/2016,7.87,7.92,7.71,7.78,6.828308,18721300
7/14/2016,8.03,8.08,7.91,8.02,7.03895,20654400
7/15/2016,8.06,8.06,7.93,8,7.021397,6508000
7/18/2016,8.01,8.15,7.98,8.1,7.109165,7880300
7/19/2016,7.93,8.01,7.9,7.93,6.95996,8069600
7/20/2016,8.02,8.06,7.98,8.04,7.056504,5663000
7/21/2016,8.09,8.19,8.05,8.06,7.074058,6851700
