Date,Open,High,Low,Close,Adj Close,Volume
4/8/2016,13.61,13.72,13.52,13.57,11.098225,2418000
4/11/2016,13.91,14,13.83,13.84,11.319045,2002700
4/12/2016,13.85,14.16,13.68,14.13,11.556221,2916300
4/13/2016,14.94,15.11,14.84,15.08,12.333179,3917300
4/14/2016,15.01,15.05,14.84,15.01,12.27593,2387400
4/15/2016,14.85,14.96,14.79,14.89,12.177786,2023300
4/18/2016,14.93,15.2,14.89,15.12,12.365891,3018300
4/19/2016,15.35,15.52,15.28,15.42,12.611247,2936200
4/20/2016,15.64,15.86,15.58,15.82,12.938388,3958200
4/21/2016,15.79,15.8,15.54,15.59,12.750282,3552000
4/22/2016,15.29,15.65,15.28,15.62,12.774818,3401700
4/25/2016,15.38,15.39,15.06,15.21,12.4395,2705300
4/26/2016,15.46,15.53,15.35,15.51,12.684855,2982200
4/27/2016,15.29,15.53,15.29,15.51,12.684855,4200600
4/28/2016,15.49,15.78,15.43,15.56,12.725746,4051000
4/29/2016,15.26,15.36,15.08,15.21,12.4395,3908200
5/2/2016,15.16,15.28,15.03,15.25,12.472213,2583000
5/3/2016,14.6,14.66,14.37,14.56,11.907897,4241700
5/4/2016,14.46,14.61,14.2,14.28,11.678897,2964300
5/5/2016,14.32,14.34,14.04,14.09,11.523506,2361800
5/6/2016,13.62,14.01,13.62,14,11.449901,5198300
5/9/2016,13.89,14.1,13.79,14.07,11.507151,5473300
5/10/2016,13.53,13.92,13.51,13.9,11.993805,4643900
5/11/2016,13.26,13.51,13.22,13.37,11.536487,5225600
5/12/2016,13.24,13.36,13.06,13.14,11.338029,4696200
5/13/2016,13.1,13.2,12.8,12.85,11.0878,3726900
5/16/2016,12.85,12.97,12.81,12.86,11.096427,2736400
5/17/2016,12.77,12.98,12.7,12.81,11.053284,3675800
5/18/2016,12.82,13.26,12.82,13.22,11.407058,4998700
5/19/2016,13.22,13.63,13.22,13.46,11.614146,5211900
5/20/2016,13.63,13.73,13.61,13.7,11.821232,3672200
5/23/2016,13.71,13.84,13.67,13.78,11.89026,3136700
5/24/2016,13.95,14.13,13.94,14.1,12.166379,2389400
5/25/2016,14.32,14.44,14.28,14.37,12.399352,3203500
5/26/2016,14.38,14.43,14.27,14.32,12.356208,2386800
5/27/2016,14.27,14.38,14.22,14.3,12.33895,2858400
5/31/2016,13.82,13.91,13.61,13.68,11.803975,4275200
6/1/2016,13.47,13.55,13.37,13.51,11.657287,4156900
6/2/2016,13.51,13.66,13.47,13.65,11.778089,2633500
6/3/2016,13.52,13.53,13.27,13.35,11.519231,5416100
6/6/2016,13.22,13.4,13.22,13.37,11.536487,3412600
6/7/2016,13.47,13.56,13.45,13.47,11.622773,2526700
6/8/2016,13.51,13.61,13.42,13.46,11.614146,1969600
6/9/2016,13.13,13.16,12.97,13,11.217227,4600200
6/10/2016,12.57,12.65,12.38,12.43,10.725395,5383800
6/13/2016,12.07,12.4,12.05,12.09,10.432022,6519500
6/14/2016,12.01,12.07,11.7,11.8,10.18179,6155200
6/15/2016,12.05,12.19,11.91,11.92,10.285336,5231100
6/16/2016,11.66,12.09,11.59,12.08,10.423393,6286800
6/17/2016,12.31,12.62,12.28,12.55,10.828939,5665600
6/20/2016,12.95,13.05,12.83,12.84,11.079169,4241400
6/21/2016,13.01,13.13,12.86,13.07,11.277628,2680200
