Date,Open,High,Low,Close,Adj Close,Volume
4/8/2016,16,16.09,15.81,15.87,15.261379,3583300
4/11/2016,16.15,16.25,15.91,15.92,15.309463,3515000
4/12/2016,15.78,16.08,15.48,16,15.386395,5476800
4/13/2016,16.99,17.379999,16.99,17.360001,16.694239,6810700
4/14/2016,17.41,17.43,17.17,17.280001,16.617306,3958300
4/15/2016,17.32,17.379999,17.23,17.299999,16.636539,2220800
4/18/2016,17.450001,17.780001,17.4,17.690001,17.011583,2847200
4/19/2016,17.860001,17.950001,17.65,17.84,17.15583,3408200
4/20/2016,18.48,18.74,18.4,18.719999,18.002081,4736200
4/21/2016,19.15,19.16,18.620001,18.67,17.954,4380300
4/22/2016,18.690001,18.959999,18.67,18.889999,18.165562,2742100
4/25/2016,18.32,18.360001,17.969999,18.139999,17.444324,3293400
4/26/2016,18.73,18.73,18.450001,18.639999,17.925148,2173500
4/27/2016,18.780001,19.059999,18.76,19.02,18.290577,3547800
4/28/2016,19.370001,19.700001,19.32,19.459999,18.713703,3936000
4/29/2016,19.15,19.26,18.790001,18.959999,18.232878,3539300
5/2/2016,18.389999,18.530001,18.200001,18.48,17.771286,3336100
5/3/2016,17.610001,17.620001,17.299999,17.34,16.675007,5376300
5/4/2016,17.35,17.57,17.110001,17.200001,16.540375,3135900
5/5/2016,16.809999,16.879999,16.559999,16.67,16.030701,4837600
5/6/2016,16.52,16.99,16.5,16.91,16.261497,4060700
5/9/2016,16.959999,17.030001,16.65,16.719999,16.078781,2707200
5/10/2016,16.98,17.18,16.959999,17.15,16.49229,2444300
5/11/2016,16.690001,16.93,16.610001,16.700001,16.059549,3271500
5/12/2016,16.889999,17.02,16.469999,16.6,15.963386,2829100
5/13/2016,16.620001,16.75,16.35,16.389999,15.761438,2349100
5/16/2016,16.370001,16.469999,16.280001,16.370001,15.742206,2368200
5/17/2016,16.299999,16.440001,16.1,16.16,15.540258,3592800
5/18/2016,16.139999,16.799999,16.139999,16.75,16.107632,4286000
5/19/2016,16.91,17.07,16.67,16.790001,16.146099,3265600
5/20/2016,16.85,17.049999,16.85,16.91,16.261497,2165900
5/23/2016,16.93,17.129999,16.709999,16.93,16.280727,3441700
5/24/2016,17.09,17.389999,17.08,17.370001,16.703856,2700300
5/25/2016,17.879999,18.08,17.860001,17.99,17.300077,3398300
5/26/2016,18.190001,18.23,18.01,18.049999,17.357777,2525900
5/27/2016,18.18,18.309999,18.07,18.129999,17.434708,1777800
5/31/2016,18.200001,18.26,17.74,17.799999,17.117363,2955800
6/1/2016,17.360001,17.620001,17.23,17.620001,16.944267,3892700
6/2/2016,17.43,17.620001,17.360001,17.540001,16.867338,2096000
6/3/2016,17.280001,17.299999,16.879999,17.059999,16.405745,4467700
6/6/2016,16.889999,17.190001,16.879999,17.139999,16.482676,2433700
6/7/2016,17.34,17.459999,17.26,17.27,16.607689,2107100
6/8/2016,17.24,17.360001,17,17.049999,16.396126,2133800
6/9/2016,16.709999,16.83,16.6,16.709999,16.069166,2793800
6/10/2016,15.96,16,15.65,15.74,15.136366,7059600
6/13/2016,15.22,15.53,15.15,15.18,14.597842,4814100
6/14/2016,15.02,15.17,14.59,14.73,14.165099,6419100
6/15/2016,14.88,15.16,14.77,14.82,14.251648,5816800
6/16/2016,14.32,14.92,14.13,14.9,14.32858,7838200
6/17/2016,15.39,15.67,15.29,15.62,15.020967,6051600
6/20/2016,16.41,16.450001,16.290001,16.299999,15.67489,5688800
6/21/2016,16.66,16.879999,16.4,16.809999,16.165331,4874700
6/22/2016,17.15,17.219999,16.860001,16.870001,16.223032,4824300
6/23/2016,17.6,17.860001,17.309999,17.84,17.15583,6265100
6/24/2016,17.84,17.84,14.62,14.72,14.155483,18288300
6/27/2016,13.96,13.99,13.4,13.87,13.33808,10609400
6/28/2016,14.39,14.46,13.88,14.17,13.626575,7835100
6/29/2016,13.97,14.12,13.94,14.09,13.549644,8707600
6/30/2016,13.65,13.9,13.47,13.73,13.203449,12054500
7/1/2016,13.97,14.07,13.83,13.91,13.376547,7633700
7/5/2016,13.73,13.76,13.34,13.4,12.886106,7357600
7/6/2016,12.77,12.99,12.5,12.97,12.472597,9924300
7/7/2016,12.76,12.91,12.5,12.6,12.116786,8240400
7/8/2016,13.13,13.14,12.89,12.97,12.472597,6053800
7/11/2016,13.18,13.4,13.1,13.3,12.789941,5739400
7/12/2016,14.11,14.24,14.01,14.1,13.559261,7882500
7/13/2016,14.21,14.26,13.88,13.95,13.415012,5461100
7/14/2016,14.36,14.62,14.31,14.54,13.982387,7149900
7/15/2016,14.62,14.62,14.38,14.43,13.876605,3496700
7/18/2016,14.36,14.61,14.24,14.54,13.982387,4330100
7/19/2016,14,14.08,13.95,14.01,13.472713,4685300
7/20/2016,14.13,14.32,14.01,14.3,13.751591,3135500
7/21/2016,14.66,14.79,14.38,14.44,13.886221,4026100
7/22/2016,14.52,14.55,14.31,14.35,13.799674,2024200
7/25/2016,14.5,14.57,14.37,14.4,13.847754,2481800
7/26/2016,14.16,14.24,14.06,14.18,13.636193,3265300
7/27/2016,13.78,13.88,13.53,13.63,13.107285,7702500
7/28/2016,13.3,13.32,13.2,13.25,12.741858,5227900
7/29/2016,13.5,13.53,13.3,13.44,12.924571,6928200
8/1/2016,13.25,13.27,13.04,13.07,12.568761,4861400
8/2/2016,12.72,12.79,12.55,12.58,12.097552,7635000
8/3/2016,12.56,12.71,12.48,12.69,12.203334,7207300
8/4/2016,12.71,12.8,12.63,12.7,12.212951,3763500
8/5/2016,12.85,13.16,12.83,13.15,12.645693,6015600
8/8/2016,13.4,13.5,13.36,13.47,12.953422,3325700
8/9/2016,13.51,13.78,13.51,13.73,13.203449,4014100
8/10/2016,14.15,14.31,14.03,14.22,13.674658,6642100
8/11/2016,14.25,14.34,14.19,14.23,13.684275,2608500
8/12/2016,14.28,14.32,14.2,14.25,13.703508,2069600
8/15/2016,14.3,14.35,14.28,14.35,13.799674,2249100
8/16/2016,14.34,14.38,14.23,14.23,13.684275,1771800
8/17/2016,13.93,14,13.79,13.97,13.434246,3108400
8/18/2016,13.83,14.02,13.8,13.97,13.434246,2373500
8/19/2016,13.55,13.63,13.45,13.55,13.030354,4551300
8/22/2016,13.46,13.62,13.42,13.51,12.991888,3448700
8/23/2016,13.96,14.06,13.95,14,13.463096,3081200
8/24/2016,14.31,14.36,14.14,14.19,13.645808,3275900
8/25/2016,14.11,14.17,14,14.02,13.482328,2026500
8/26/2016,14.16,14.28,13.88,13.98,13.443862,5257900
8/29/2016,13.87,13.97,13.85,13.92,13.386164,1776800
8/30/2016,14.24,14.41,14.23,14.39,13.83814,3372900
8/31/2016,14.83,14.96,14.64,14.75,14.184333,5791800
9/1/2016,15.14,15.2,14.57,14.69,14.126634,5604500
9/2/2016,14.84,14.92,14.73,14.9,14.32858,2697800
9/6/2016,14.82,14.82,14.42,14.46,13.905455,3887200
9/7/2016,14.53,14.64,14.45,14.54,13.982387,2199900
9/8/2016,14.54,14.81,14.49,14.79,14.222798,2970300
9/9/2016,15.33,15.43,15.18,15.26,14.674774,9886200
9/12/2016,14.82,15.16,14.71,15.11,14.530526,5201800
9/13/2016,14.87,14.91,14.52,14.59,14.030469,4930600
9/14/2016,14.48,14.72,14.41,14.52,13.963153,3181600
9/15/2016,14.52,14.83,14.48,14.76,14.19395,3142400
9/16/2016,13.38,13.48,13.27,13.38,12.866872,13478300
9/19/2016,13.22,13.23,12.91,12.97,12.472597,8454200
9/20/2016,12.8,12.8,12.4,12.42,11.943689,11564400
9/21/2016,12.46,12.68,12.44,12.68,12.193718,8828400
9/22/2016,13.14,13.23,12.97,13,12.501446,8555800
9/23/2016,12.75,12.83,12.68,12.75,12.261033,6149000
9/26/2016,12.01,12.05,11.23,11.85,11.395549,20686800
9/27/2016,11.59,11.97,11.57,11.92,11.462865,17147500
9/28/2016,12.32,12.32,12.01,12.3,11.828291,14528800
9/29/2016,12.19,12.35,11.19,11.48,11.039737,51994300
9/30/2016,12.07,13.28,12.06,13.09,12.587995,70176200
10/3/2016,13.09,13.14,12.6,12.98,12.482212,21477300
10/4/2016,13.19,13.4,13.03,13.33,12.818789,25104700
10/5/2016,13.42,13.62,13.4,13.59,13.06882,12020200
10/6/2016,13.66,13.68,13.27,13.53,13.01112,14775500
10/7/2016,13.67,13.96,13.4,13.64,13.116901,20586600
10/10/2016,13.7,14.04,13.7,13.9,13.36693,11491400
10/11/2016,13.8,13.84,13.53,13.62,13.097668,5911800
10/12/2016,13.62,13.73,13.54,13.6,13.078436,4081800
10/13/2016,13.23,13.42,13.05,13.36,12.847639,6861100
10/14/2016,13.6,13.69,13.25,13.43,12.914955,8908300
10/17/2016,13.54,13.54,13.37,13.39,12.87649,3676400
10/18/2016,13.63,13.75,13.55,13.72,13.193833,4324800
10/19/2016,13.72,13.9,13.65,13.86,13.328465,4779000
10/20/2016,14.01,14.6,14,14.37,13.818906,18030200
10/21/2016,14.16,14.35,14.15,14.31,13.761208,5318900
10/24/2016,14.6,14.66,14.42,14.48,13.924686,5686500
10/25/2016,14.14,14.38,14.1,14.27,13.722741,6614000
10/26/2016,14.51,14.59,14.33,14.56,14.00162,7982100
10/27/2016,14.56,14.66,14.43,14.49,13.934304,8305900
10/28/2016,14.54,14.74,14.49,14.62,14.059318,7392100
10/31/2016,14.54,14.55,14.29,14.39,13.83814,5777000
11/1/2016,14.35,14.36,13.78,13.93,13.39578,7727800
11/2/2016,13.67,13.74,13.54,13.6,13.078436,8446200
11/3/2016,13.69,13.81,13.54,13.57,13.049585,4144700
11/4/2016,13.45,13.63,13.32,13.45,12.934188,4066700
11/7/2016,14.2,14.27,14.09,14.22,13.674658,5697100
11/8/2016,14.09,14.3,13.95,14.24,13.693891,5218200
11/9/2016,14.04,14.87,14,14.76,14.19395,13960200
11/10/2016,15.16,15.89,15.15,15.73,15.126748,16939200
11/11/2016,15.98,16.24,15.93,16.190001,15.569109,9325000
11/14/2016,16.07,16.67,16.059999,16.639999,16.001852,11150500
11/15/2016,16.32,16.57,16.16,16.549999,15.915301,7301200
11/16/2016,16.15,16.24,16,16.07,15.45371,5798700
11/17/2016,15.95,16.110001,15.8,16.09,15.472943,6563700
11/18/2016,16.08,16.1,15.83,15.91,15.299846,5179900
11/21/2016,15.98,16.139999,15.86,16.030001,15.415245,4346200
