Date,Open,High,Low,Close,Adj Close,Volume
4/8/2016,47.349998,47.650002,46.970001,47.07,40.005383,12236500
4/11/2016,47.110001,47.709999,47,47.029999,39.971386,15113500
4/12/2016,47.139999,47.830002,46.950001,47.77,40.600311,18772600
4/13/2016,48.290001,49.25,48.27,49.029999,41.671211,26311900
4/14/2016,48.299999,49.299999,48.169998,48.790001,41.467236,30067900
4/15/2016,48.619999,48.939999,48.060001,48.25,41.008286,24885200
4/18/2016,48.25,48.880001,47.91,48.84,41.509731,18225800
4/19/2016,49.009998,49.919998,48.98,49.880001,42.393642,18673400
4/20/2016,49.98,50.52,49.759998,50.450001,42.87809,22647700
4/21/2016,50.549999,50.779999,49.93,50.049999,42.538116,20255400
4/22/2016,50.049999,50.740002,50.049999,50.619999,43.022568,16365700
4/25/2016,50.310001,50.599998,50.119999,50.509998,42.929077,11689100
4/26/2016,50.509998,50.990002,50.450001,50.919998,43.27755,13333500
4/27/2016,50.869999,51.41,50.720001,50.93,43.286045,15342700
4/28/2016,50.509998,50.93,50.200001,50.41,42.84409,15506300
4/29/2016,50.459999,50.459999,49.68,49.98,42.478622,17887000
5/2/2016,50.279999,50.700001,50.150002,50.59,42.997078,14780300
5/3/2016,49.860001,50.130001,49.540001,50,42.495625,16246400
5/4/2016,49.060001,49.27,48.68,48.939999,41.913258,22402500
5/5/2016,48.970001,49.189999,48.77,48.959999,41.930393,15953600
5/6/2016,48.709999,49.119999,48.650002,49.02,41.981777,14189600
5/9/2016,49.02,49.220001,48.810001,48.880001,41.861877,13877000
5/10/2016,49,49.509998,49,49.400002,42.307213,14234400
5/11/2016,49.360001,49.720001,49.080002,49.080002,42.033157,17344300
5/12/2016,49.34,49.580002,49.049999,49.200001,42.135929,13589600
5/13/2016,49.099998,49.43,48.209999,48.240002,41.313766,25251700
5/16/2016,48.119999,48.630001,47.939999,48.27,41.339451,19655300
5/17/2016,48.139999,48.169998,47.549999,47.619999,40.782784,21495600
5/18/2016,47.68,48.720001,47.619999,48.650002,41.664906,30028200
5/19/2016,48.439999,48.959999,48.16,48.380001,41.433666,13604100
5/20/2016,48.619999,49.209999,48.560001,48.75,41.750538,13222800
5/23/2016,48.759998,48.880001,48.349998,48.700001,41.707722,10644000
5/24/2016,49.049999,49.369999,48.689999,49.200001,42.135929,16597700
5/25/2016,49.580002,50.830002,49.509998,50.5,43.249275,22478600
5/26/2016,50.52,50.66,50.400002,50.549999,43.292095,14983300
5/27/2016,50.599998,50.860001,50.490002,50.849998,43.549019,13430500
5/31/2016,51.02,51.189999,50.490002,50.720001,43.437695,19725000
6/1/2016,50.259998,51.040001,50.169998,51,43.67749,16774300
6/2/2016,50.959999,51.110001,50.709999,51.110001,43.771702,14206700
6/3/2016,50.169998,50.310001,49.610001,50.189999,42.983784,25452600
6/6/2016,50.240002,50.869999,50.189999,50.490002,43.240711,14528500
6/7/2016,50.73,50.73,50.27,50.27,43.052299,15310100
6/8/2016,50.25,50.439999,49.740002,50,42.821064,18168500
6/9/2016,49.650002,49.68,48.849998,49.139999,42.084545,19464400
6/10/2016,48.490002,48.709999,48.169998,48.34,41.399406,16815300
6/13/2016,48.130001,48.509998,47.959999,47.970001,41.082531,16150100
6/14/2016,47.860001,48.119999,46.509998,46.880001,40.149033,25311700
6/15/2016,47.27,47.560001,46.740002,46.779999,40.063393,20142000
6/16/2016,46.470001,46.860001,45.959999,46.849998,40.123333,15619300
6/17/2016,46.849998,47,46.52,46.599998,39.909233,25661300
6/20/2016,47.490002,47.900002,46.919998,46.93,40.191856,19490100
6/21/2016,47.290001,47.34,46.77,47.23,40.448776,11731600
6/22/2016,47.150002,47.580002,46.93,46.970001,40.226116,17072100
6/23/2016,47.639999,47.91,47.389999,47.91,41.031151,16270000
6/24/2016,45.759998,46.970001,45.279999,45.709999,39.147011,46744100
6/27/2016,45.200001,45.330002,44.5,45.009998,38.54752,35030100
6/28/2016,45.889999,46.110001,45.34,46.099998,39.481014,27525700
6/29/2016,46.630001,46.990002,46.150002,46.970001,40.226116,20856400
6/30/2016,47.240002,47.360001,46.529999,47.330002,40.53442,22538800
7/1/2016,47.080002,47.279999,46.860001,47.029999,40.2775,19013600
7/5/2016,46.700001,46.759998,45.810001,46.209999,39.575233,22213000
7/6/2016,45.889999,46.66,45.700001,46.650002,39.952053,19024100
7/7/2016,46.580002,47.220001,46.439999,46.799999,40.080517,17946200
7/8/2016,47.450001,47.919998,47.450001,47.790001,40.928387,19775700
7/11/2016,48.099998,48.450001,47.939999,48.080002,41.176739,16008700
7/12/2016,48.419998,48.630001,48.220001,48.349998,41.40797,15067900
7/13/2016,48.310001,48.470001,47.98,48.27,41.339451,14389600
7/14/2016,49.049999,49.150002,48.669998,48.939999,41.913258,17578400
7/15/2016,48.849998,48.880001,47.41,47.709999,40.859875,35121000
7/18/2016,47.810001,48.330002,47.779999,48.279999,41.348015,24139200
7/19/2016,48.080002,48.549999,48.049999,48.369999,41.425102,15982900
7/20/2016,48.59,48.689999,48.400002,48.610001,41.630642,16569900
7/21/2016,48.650002,48.810001,48.290001,48.299999,41.365154,15532000
7/22/2016,48.32,48.360001,48.099998,48.32,41.382275,13588500
7/25/2016,48.240002,48.259998,47.849998,48.119999,41.210991,12122200
7/26/2016,48.029999,48.169998,47.799999,47.970001,41.082531,16130100
7/27/2016,47.950001,48.220001,47.779999,48,41.108231,17886800
7/28/2016,47.939999,48.220001,47.68,48.130001,41.219563,12562600
7/29/2016,47.950001,48.169998,47.950001,47.970001,41.082531,13111700
8/1/2016,47.98,48.049999,47.630001,47.810001,40.945507,16026600
8/2/2016,47.66,47.830002,47.389999,47.700001,40.851299,17033100
8/3/2016,47.330002,47.639999,47.330002,47.57,41.06712,14913500
8/4/2016,47.599998,48,47.57,47.84,41.300217,14662600
8/5/2016,48.389999,48.700001,48.130001,48.68,42.025391,19064700
8/8/2016,48.779999,49.049999,48.740002,48.91,42.223949,14871600
8/9/2016,49.02,49.150002,48.810001,48.93,42.241207,10449800
8/10/2016,48.82,48.93,48.080002,48.18,41.593735,16782700
8/11/2016,48.23,48.5,47.919998,48.240002,41.645535,14614100
8/12/2016,48.049999,48.080002,47.830002,47.900002,41.352009,13227500
8/15/2016,48.049999,48.34,48.029999,48.27,41.671432,11758900
8/16/2016,48.16,48.599998,48.060001,48.439999,41.818195,13957600
8/17/2016,48.369999,48.66,48.310001,48.610001,41.964954,13062900
8/18/2016,48.5,48.66,48.330002,48.529999,41.895885,12189200
8/19/2016,48.439999,48.73,48.200001,48.650002,41.999496,12557700
8/22/2016,48.639999,48.740002,48.5,48.630001,41.982224,9212600
8/23/2016,48.639999,48.75,48.389999,48.41,41.79229,15430200
8/24/2016,48.5,48.77,48.349998,48.630001,41.982224,16315800
8/25/2016,48.619999,48.689999,48.299999,48.380001,41.766384,13643200
8/26/2016,48.580002,48.84,48.279999,48.509998,41.87862,15527300
8/29/2016,48.75,49.75,48.689999,49.560001,42.785088,21201400
8/30/2016,49.73,50.639999,49.68,50.619999,43.700176,25055800
8/31/2016,50.700001,50.919998,50.240002,50.799999,43.855576,24533600
9/1/2016,50.919998,51,50.110001,50.43,43.536163,17017100
9/2/2016,50.450001,50.66,50.18,50.549999,43.639751,12684000
9/6/2016,50.560001,50.57,49.630001,49.990002,43.156307,21832200
9/7/2016,49.790001,50.029999,49.650002,49.77,42.966381,12437300
9/8/2016,49.810001,49.990002,49.560001,49.900002,43.078606,14169200
9/9/2016,49.490002,49.860001,48.720001,48.720001,42.059914,32147200
9/12/2016,48.369999,48.639999,47.98,48.540001,41.904518,35588400
9/13/2016,47.799999,47.860001,46.52,46.959999,40.540512,59000500
9/14/2016,47.080002,47.580002,46.5,46.52,40.16066,44841700
9/15/2016,46.119999,46.349998,45.189999,46.150002,39.841236,60827800
9/16/2016,45.700001,45.869999,45.25,45.43,39.219666,51871400
9/19/2016,45.619999,46.290001,45.48,46.009998,39.720379,33562400
9/20/2016,47.150002,47.200001,46.119999,46.560001,40.195194,51510400
9/21/2016,46.509998,46.540001,45.330002,45.830002,39.564987,64530200
9/22/2016,45.830002,46.119999,45.369999,45.720001,39.470024,36964400
9/23/2016,45.5,45.91,45.43,45.740002,39.487282,28710500
9/26/2016,45.369999,45.5,44.650002,44.880001,38.74485,30938000
9/27/2016,44.790001,45.099998,44.66,45.09,38.926144,24359000
9/28/2016,45.360001,45.48,44.959999,45.310001,39.116062,28220300
9/29/2016,45.189999,45.259998,44.209999,44.369999,38.304565,45266700
9/30/2016,44.330002,44.73,44.099998,44.279999,38.226871,54117700
10/3/2016,44.119999,44.16,43.560001,43.830002,37.83839,38197700
10/4/2016,43.619999,44.09,43.549999,43.75,37.769325,44008300
10/5/2016,43.830002,45.080002,43.830002,44.990002,38.839806,40459000
10/6/2016,45.18,45.389999,44.830002,45.18,39.00383,29878200
10/7/2016,45.200001,45.450001,44.93,45.330002,39.133331,24893600
10/10/2016,45.700001,45.919998,45.439999,45.650002,39.409592,21804900
10/11/2016,45.799999,45.82,45.150002,45.450001,39.236931,25442600
10/12/2016,45.509998,45.830002,45.32,45.32,39.124702,21780500
10/13/2016,45.240002,45.240002,44.279999,44.75,38.632622,44174600
10/14/2016,45.169998,45.52,44.32,44.709999,38.59808,45418600
10/17/2016,44.540001,44.759998,44.32,44.5,38.416798,18861300
10/18/2016,44.75,45,44.41,44.950001,38.805271,23877600
10/19/2016,44.860001,45.529999,44.860001,45.259998,39.072895,26977000
10/20/2016,44.970001,45.290001,44.66,44.93,38.78801,27210600
10/21/2016,44.740002,45.299999,44.66,45.09,38.926144,21490800
10/24/2016,45.450001,45.68,45.290001,45.52,39.297359,19303800
10/25/2016,45.470001,45.799999,45.41,45.720001,39.470024,20402000
10/26/2016,45.459999,46.169998,45.439999,46.150002,39.841236,25181900
10/27/2016,46.419998,46.810001,46.259998,46.41,40.065697,25661000
10/28/2016,46.57,46.639999,45.880001,46.23,39.910301,20882000
10/31/2016,46.400002,46.560001,46,46.009998,39.720379,20115900
11/1/2016,46.119999,46.279999,45.599998,45.990002,39.703114,20020200
11/2/2016,45.380001,45.509998,45.07,45.240002,39.381031,19566600
11/3/2016,45.330002,45.790001,45.25,45.34,39.468086,14982700
11/4/2016,45.360001,45.419998,44.490002,44.599998,38.823917,27391600
11/7/2016,45.220001,45.689999,45.209999,45.400002,39.520309,25769400
11/8/2016,45.18,45.82,44.869999,45.540001,39.642181,19462600
11/9/2016,46.330002,48.610001,46,47.990002,41.774883,67615000
11/10/2016,48.93,51.93,48.790001,51.630001,44.943459,100988800
11/11/2016,51.09,51.990002,50.73,51.73,45.030521,46594900
11/14/2016,51.91,54.060001,51.91,53.220001,46.327553,59154400
11/15/2016,52.380001,52.59,51.540001,52.59,45.779144,39437900
11/16/2016,51.790001,52.169998,51.360001,51.68,44.987,26996200
11/17/2016,51.389999,52.900002,50.959999,52.490002,45.692101,29205900
11/18/2016,52.450001,52.98,51.990002,52.82,45.979355,29673400
11/21/2016,52.849998,52.98,52.02,52.119999,45.370007,23587200
11/22/2016,52.43,52.580002,51.810001,52.220001,45.457062,22816900
11/23/2016,52.450001,52.630001,51.950001,52.16,45.404827,19986800
11/25/2016,52.400002,52.619999,52.040001,52.619999,45.80526,9635500
11/28/2016,52.119999,52.48,51.389999,51.580002,44.899944,26518500
11/29/2016,51.560001,52.130001,51.560001,51.860001,45.143684,16267300
11/30/2016,52.48,53.16,52.299999,52.919998,46.066406,26567200
12/1/2016,53.130001,54.470001,53.060001,54.34,47.302505,35623100
12/2/2016,54.240002,54.27,53.310001,53.580002,46.640926,21894700
12/5/2016,53.900002,54.529999,53.869999,54.349998,47.311207,24793900
12/6/2016,54.450001,55.57,54.220001,55.549999,48.355797,30706700
12/7/2016,55.549999,57.290001,55.23,57.279999,49.861744,46617000
12/8/2016,57.290001,58.02,56.709999,57.290001,49.870453,39828600
12/9/2016,56.91,57.240002,56.490002,57.139999,49.739872,20331200
12/12/2016,56.5,57.099998,55.549999,55.779999,48.556015,27886200
12/13/2016,55.849998,56.209999,55.290001,55.84,48.608234,24355600
12/14/2016,54.740002,55.619999,54.029999,54.700001,47.615879,54590600
12/15/2016,55.169998,56.25,54.900002,55.189999,48.042412,31345900
12/16/2016,55.490002,55.650002,54.919998,55.34,48.172993,33171800
12/19/2016,55.18,55.470001,54.650002,55.220001,48.068546,16801400
12/20/2016,55.470001,56.32,55.150002,56.099998,48.834568,19245300
12/21/2016,56.09,56.09,55.639999,55.709999,48.495083,14058400
12/22/2016,55.759998,56.029999,55.5,55.75,48.529884,14515500
12/23/2016,55.779999,55.98,55.619999,55.959999,48.7127,8313000
12/27/2016,55.900002,56.099998,55.84,55.950001,48.703991,8893900
12/28/2016,55.98,56.080002,55.27,55.32,48.155582,10609100
12/29/2016,55.189999,55.459999,54.48,54.84,47.737743,15933500
12/30/2016,54.889999,55.360001,54.790001,55.110001,47.972778,15095500
